"Level";"RoleAssignmentId";"RoleAssignmentScopeName";"CreatedBy";"CreatedOn";"MgId";"MgName";"MgParentId";"MgParentName";"SubscriptionId";"SubscriptionName";"Scope";"RoleClear";"RoleId";"RoleType";"RoleDataRelated";"AssignmentType";"AssignmentInheritFrom";"GroupMembersCount";"ObjectDisplayName";"ObjectSignInName";"ObjectId";"ObjectType";"TenOrMgOrSubOrRGOrRes";"RbacRelatedPolicyAssignmentClear";"RoleSecurityCustomRoleOwner";"RoleSecurityOwnerAssignmentSP"
"0";"/providers/Microsoft.Authorization/roleAssignments/0c3ffd6f-942d-433d-8abd-2d0d7f4383e1";"";"ObjectType: User Member, ObjectDisplayName: Joe Dalton, ObjectSignInName: joe.dalton@AzGovViz.onmicrosoft.com, ObjectId: acf4c68f-7b15-4d70-935b-26116fc2426a";"2021-01-10 20:27:23";"896470ca-9c6e-4176-9b38-5a655403c638";"Tenant Root Group";"TenantRoot";"TenantRoot";"";"";"inherited Tenant";"User Access Administrator";"18d7d88d-d35e-4fb5-a5c3-7773c20a72d9";"Builtin";"false";"direct";"";"";"Joe Dalton";"joe.dalton@AzGovViz.onmicrosoft.com";"acf4c68f-7b15-4d70-935b-26116fc2426a";"User Member";"Ten";"none";"0";"0"
"0";"/providers/Microsoft.Authorization/roleAssignments/6c236776-529f-4132-b034-e399e1cd1a99";"";"ObjectType: User Member, ObjectDisplayName: Joe Dalton, ObjectSignInName: joe.dalton@AzGovViz.onmicrosoft.com, ObjectId: acf4c68f-7b15-4d70-935b-26116fc2426a";"2021-01-10 20:51:02";"896470ca-9c6e-4176-9b38-5a655403c638";"Tenant Root Group";"TenantRoot";"TenantRoot";"";"";"inherited Tenant";"Owner";"8e3af657-a8ff-443c-a75c-2fe8c4bcb635";"Builtin";"false";"direct";"";"";"ESDeploymentAccount";"ESDeploymentAccount@AzGovViz.onmicrosoft.com";"b790b1e1-6f46-488b-8c5a-708b0db9a149";"User Member";"Ten";"none";"0";"0"
"0";"/providers/Microsoft.Management/managementGroups/896470ca-9c6e-4176-9b38-5a655403c638/providers/Microsoft.Authorization/roleAssignments/2df03e9d-a1e3-41f5-a95e-efb2b4641f04";"896470ca-9c6e-4176-9b38-5a655403c638";"ObjectType: User Member, ObjectDisplayName: Joe Dalton, ObjectSignInName: joe.dalton@AzGovViz.onmicrosoft.com, ObjectId: acf4c68f-7b15-4d70-935b-26116fc2426a";"2021-07-19 19:38:25";"896470ca-9c6e-4176-9b38-5a655403c638";"Tenant Root Group";"TenantRoot";"TenantRoot";"";"";"thisScope MG";"Reader";"acdd72a7-3385-48ef-bd42-f606fba81ae7";"Builtin";"false";"direct";"";"";"Jack Dalton";"JackDalton@AzGovViz.onmicrosoft.com";"c64d2776-a210-428f-b54f-a4a5dd7f8ef8";"User Member";"Mg";"none";"0";"0"
"0";"/providers/Microsoft.Management/managementGroups/896470ca-9c6e-4176-9b38-5a655403c638/providers/Microsoft.Authorization/roleAssignments/30e36b53-bc6c-412b-a026-96fe7527e27b";"896470ca-9c6e-4176-9b38-5a655403c638";"ObjectType: User Member, ObjectDisplayName: Joe Dalton, ObjectSignInName: joe.dalton@AzGovViz.onmicrosoft.com, ObjectId: acf4c68f-7b15-4d70-935b-26116fc2426a";"2021-07-06 12:42:21";"896470ca-9c6e-4176-9b38-5a655403c638";"Tenant Root Group";"TenantRoot";"TenantRoot";"";"";"thisScope MG";"Owner";"8e3af657-a8ff-443c-a75c-2fe8c4bcb635";"Builtin";"false";"direct";"";"";"AzOps";"n/a";"c295384a-33d9-475e-abaf-d2fb0274299a";"SP App INT ";"Mg";"none";"0";"1"
"0";"/providers/Microsoft.Management/managementGroups/896470ca-9c6e-4176-9b38-5a655403c638/providers/Microsoft.Authorization/roleAssignments/d7973c31-e58a-4af7-bbcb-a4bac69ba141";"896470ca-9c6e-4176-9b38-5a655403c638";"ObjectType: User Member, ObjectDisplayName: Joe Dalton, ObjectSignInName: joe.dalton@AzGovViz.onmicrosoft.com, ObjectId: acf4c68f-7b15-4d70-935b-26116fc2426a";"2021-04-27 16:53:54";"896470ca-9c6e-4176-9b38-5a655403c638";"Tenant Root Group";"TenantRoot";"TenantRoot";"";"";"thisScope MG";"Reader";"acdd72a7-3385-48ef-bd42-f606fba81ae7";"Builtin";"false";"direct";"";"";"azgovvizwwcsecurity";"n/a";"e261446e-77d2-4cf5-a32a-0fbef8ee1333";"SP App INT ";"Mg";"none";"0";"0"
"0";"/providers/Microsoft.Management/managementGroups/896470ca-9c6e-4176-9b38-5a655403c638/providers/Microsoft.Authorization/roleAssignments/eda95ae6-8581-4558-b3b9-b3cd05cce33d";"896470ca-9c6e-4176-9b38-5a655403c638";"ObjectType: User Member, ObjectDisplayName: Joe Dalton, ObjectSignInName: joe.dalton@AzGovViz.onmicrosoft.com, ObjectId: acf4c68f-7b15-4d70-935b-26116fc2426a";"2021-06-16 13:58:06";"896470ca-9c6e-4176-9b38-5a655403c638";"Tenant Root Group";"TenantRoot";"TenantRoot";"";"";"thisScope MG";"Owner";"8e3af657-a8ff-443c-a75c-2fe8c4bcb635";"Builtin";"false";"direct";"";"";"Joe Dalton";"joe.dalton@AzGovViz.onmicrosoft.com";"acf4c68f-7b15-4d70-935b-26116fc2426a";"User Member";"Mg";"none";"0";"0"
"1";"/providers/Microsoft.Authorization/roleAssignments/0c3ffd6f-942d-433d-8abd-2d0d7f4383e1";"";"ObjectType: User Member, ObjectDisplayName: Joe Dalton, ObjectSignInName: joe.dalton@AzGovViz.onmicrosoft.com, ObjectId: acf4c68f-7b15-4d70-935b-26116fc2426a";"2021-01-10 20:27:23";"ESJH";"ESJH";"896470ca-9c6e-4176-9b38-5a655403c638";"Tenant Root Group";"";"";"inherited Tenant";"User Access Administrator";"18d7d88d-d35e-4fb5-a5c3-7773c20a72d9";"Builtin";"false";"direct";"";"";"Joe Dalton";"joe.dalton@AzGovViz.onmicrosoft.com";"acf4c68f-7b15-4d70-935b-26116fc2426a";"User Member";"Ten";"none";"0";"0"
"1";"/providers/Microsoft.Authorization/roleAssignments/0c3ffd6f-942d-433d-8abd-2d0d7f4383e1";"";"ObjectType: User Member, ObjectDisplayName: Joe Dalton, ObjectSignInName: joe.dalton@AzGovViz.onmicrosoft.com, ObjectId: acf4c68f-7b15-4d70-935b-26116fc2426a";"2021-01-10 20:27:23";"ESJHDEV";"ESJHDEV";"896470ca-9c6e-4176-9b38-5a655403c638";"Tenant Root Group";"";"";"inherited Tenant";"User Access Administrator";"18d7d88d-d35e-4fb5-a5c3-7773c20a72d9";"Builtin";"false";"direct";"";"";"Joe Dalton";"joe.dalton@AzGovViz.onmicrosoft.com";"acf4c68f-7b15-4d70-935b-26116fc2426a";"User Member";"Ten";"none";"0";"0"
"1";"/providers/Microsoft.Authorization/roleAssignments/0c3ffd6f-942d-433d-8abd-2d0d7f4383e1";"";"ObjectType: User Member, ObjectDisplayName: Joe Dalton, ObjectSignInName: joe.dalton@AzGovViz.onmicrosoft.com, ObjectId: acf4c68f-7b15-4d70-935b-26116fc2426a";"2021-01-10 20:27:23";"ESJHQA";"ESJHQA";"896470ca-9c6e-4176-9b38-5a655403c638";"Tenant Root Group";"";"";"inherited Tenant";"User Access Administrator";"18d7d88d-d35e-4fb5-a5c3-7773c20a72d9";"Builtin";"false";"direct";"";"";"Joe Dalton";"joe.dalton@AzGovViz.onmicrosoft.com";"acf4c68f-7b15-4d70-935b-26116fc2426a";"User Member";"Ten";"none";"0";"0"
"1";"/providers/Microsoft.Authorization/roleAssignments/6c236776-529f-4132-b034-e399e1cd1a99";"";"ObjectType: User Member, ObjectDisplayName: Joe Dalton, ObjectSignInName: joe.dalton@AzGovViz.onmicrosoft.com, ObjectId: acf4c68f-7b15-4d70-935b-26116fc2426a";"2021-01-10 20:51:02";"ESJH";"ESJH";"896470ca-9c6e-4176-9b38-5a655403c638";"Tenant Root Group";"";"";"inherited Tenant";"Owner";"8e3af657-a8ff-443c-a75c-2fe8c4bcb635";"Builtin";"false";"direct";"";"";"ESDeploymentAccount";"ESDeploymentAccount@AzGovViz.onmicrosoft.com";"b790b1e1-6f46-488b-8c5a-708b0db9a149";"User Member";"Ten";"none";"0";"0"
